user,purpose,destination
1,Holiday/ Rest & Relax,East Coast Park
2,Holiday/ Rest & Relax,Marina Bay
3,Holiday/ Rest & Relax,Palawan Beach
4,Holiday/ Rest & Relax,Siloso Beach
5,Holiday/ Rest & Relax,Changi Beach
6,Holiday/ Rest & Relax,Boat Quay
7,Holiday/ Rest & Relax,Clarke Quay
8,Holiday/ Rest & Relax,Marina Bay Sands
9,Holiday/ Rest & Relax,Resorts World Sentosa
10,Holiday/ Rest & Relax,Esplanade – Theatres on the Bay
11,Holiday/ Rest & Relax,100 AM
12,Holiday/ Rest & Relax,313@Somerset
13,Holiday/ Rest & Relax,Aperia
14,Holiday/ Rest & Relax,Balestier Hill Shopping Centre
15,Holiday/ Rest & Relax,Bugis Cube
16,Holiday/ Rest & Relax,Bugis Junction
17,Holiday/ Rest & Relax,Bugis+
18,Holiday/ Rest & Relax,Capitol Piazza
19,Holiday/ Rest & Relax,Cathay Cineleisure Orchard
20,Holiday/ Rest & Relax,The Centrepoint
21,Holiday/ Rest & Relax,City Square Mall
22,Holiday/ Rest & Relax,CityLink Mall
23,Holiday/ Rest & Relax,Duo
24,Holiday/ Rest & Relax,Far East Plaza
25,Holiday/ Rest & Relax,Funan
26,Holiday/ Rest & Relax,Great World City
27,Holiday/ Rest & Relax,HDB Hub
28,Holiday/ Rest & Relax,ION Orchard
29,Holiday/ Rest & Relax,Junction 8
30,Holiday/ Rest & Relax,Knightsbridge
31,Holiday/ Rest & Relax,Liat Towers
32,Holiday/ Rest & Relax,Lucky Plaza
33,Holiday/ Rest & Relax,Marina Bay Sands
34,Holiday/ Rest & Relax,The Shoppes at Marina Bay Sands
35,Holiday/ Rest & Relax,Marina Bay Link Mall
36,Holiday/ Rest & Relax,Marina Square
37,Holiday/ Rest & Relax,Millenia Walk
38,Holiday/ Rest & Relax,Ngee Ann City
39,Holiday/ Rest & Relax,Orchard Central
40,Holiday/ Rest & Relax,Orchard Gateway
41,Holiday/ Rest & Relax,Orchard Plaza
42,Holiday/ Rest & Relax,Midpoint Orchard
43,Holiday/ Rest & Relax,Palais Renaissance
44,Holiday/ Rest & Relax,People's Park Centre
45,Holiday/ Rest & Relax,People's Park Complex
46,Holiday/ Rest & Relax,Plaza Singapura
47,Holiday/ Rest & Relax,Raffles City
48,Holiday/ Rest & Relax,Scotts Square
49,Holiday/ Rest & Relax,Sim Lim Square
50,Holiday/ Rest & Relax,Singapore Shopping Centre
51,General business purpose,Marina Barrage
52,Holiday/ Rest & Relax,URA City Gallery
53,Holiday/ Rest & Relax,Sunshine Plaza
54,Sightseeing/ Attractions,Adventure Cove
55,Holiday/ Rest & Relax,Adventure Cove
56,Holiday/ Rest & Relax,Universal Studios Singapore
57,General business purpose,Wild Wild Wet
58,Holiday/ Rest & Relax,Royal Albatross
59,Holiday/ Rest & Relax,Floral Heritage tours by Scentopia
60,Holiday/ Rest & Relax,Singapore Ducktours
61,Holiday/ Rest & Relax,Baba House
62,Holiday/ Rest & Relax,City Hall
63,Holiday/ Rest & Relax,Empress Place Building
64,Holiday/ Rest & Relax,Fort Canning
65,General business purpose,Fort Siloso
66,Holiday/ Rest & Relax,House of Tan Yeok Nee
67,To shop/attend shopping events in Singapore,Raffles Hotel
68,Company sponsored holiday,Sri Temasek
69,Holiday/ Rest & Relax,Sun Yat Sen Nanyang Memorial Hall
70,Holiday/ Rest & Relax,Victoria Theatre and Concert Hall
71,Holiday/ Rest & Relax,Marina Barrage
72,Holiday/ Rest & Relax,URA City Gallery
73,Holiday/ Rest & Relax,Sungei Buloh Wetland Reserve
74,Holiday/ Rest & Relax,Marina Bay Sands
75,General business purpose,Resorts World Sentosa
76,General business purpose,Arab Street
77,Holiday/ Rest & Relax,Bugis Street
78,Holiday/ Rest & Relax,Chinatown
79,Holiday/ Rest & Relax,Little India
80,Holiday/ Rest & Relax,Orchard Road
81,Holiday/ Rest & Relax,Esplanade – Theatres on the Bay
82,Holiday/ Rest & Relax,Haw Par Villa
83,Holiday/ Rest & Relax,Adventure Cove
84,Holiday/ Rest & Relax,Universal Studios Singapore
85,Holiday/ Rest & Relax,Wild Wild Wet
86,Holiday/ Rest & Relax,Royal Albatross
87,Holiday/ Rest & Relax,Floral Heritage tours by Scentopia
88,Holiday/ Rest & Relax,Singapore Ducktours
89,Holiday/ Rest & Relax,Marina Bay Sands
90,Holiday/ Rest & Relax,Marina Bay Sands
91,Holiday/ Rest & Relax,Marina Bay Sands
92,Holiday/ Rest & Relax,Marina Bay Sands
93,Holiday/ Rest & Relax,Marina Bay Sands
