Name,Category,latitude,longitude
East Coast Park,Beach,1.3049,103.9229
Marina Bay,Bay,1.2868,103.8545
Palawan Beach,Beach,1.2494,103.824
Siloso Beach,Beach,1.2514,103.8196
Changi Beach,Beach,1.3873,103.987
China Cultural Centre,Cultural Centre,1.3083,103.8666
Science Centre Singapore,Educational Centre,1.3333,103.7372
Singapore Discovery Centre,Educational Centre,1.3333,103.7422
ArtScience Museum,Educational Centre,1.2862,103.859
Boat Quay,Entertainment District,1.2888,103.8495
Clarke Quay,Entertainment District,1.2907,103.8455
Bukit Timah,Hill,1.359,103.7801
Mount Faber,Hill,1.2735,103.8186
Baba House,Historical Building,1.2809,103.8446
City Hall,Historical Building,1.2905,103.852
Empress Place Building,Historical Building,1.2892,103.8494
Fort Canning,Historical Building,1.2964,103.8449
Fort Siloso,Historical Building,1.2492,103.7695
House of Tan Yeok Nee,Historical Building,1.2957,103.846
Raffles Hotel,Historical Building,1.2956,103.8541
Sri Temasek,Historical Building,1.2858,103.8473
Sun Yat Sen Nanyang Memorial Hall,Historical Building,1.2961,103.8491
Victoria Theatre and Concert Hall,Historical Building,1.2889,103.8517
Marina Barrage,Infrastructure,1.2799,103.8642
URA City Gallery,Infrastructure,1.2813,103.8496
Sungei Buloh Wetland Reserve,Nature,1.4467,103.7307
Marina Bay Sands,Integrated Resort,1.2834,103.8607
Resorts World Sentosa,Integrated Resort,1.2554,103.8236
Arab Street,Shopping District,1.3019,103.8623
Bugis Street,Shopping District,1.3007,103.8555
Chinatown,Shopping District,1.2848,103.8434
Little India,Shopping District,1.3067,103.8518
Orchard Road,Shopping District,1.3034,103.832
National Stadium,Sports,1.3022,103.8759
Singapore Indoor Stadium,Sports,1.3022,103.8769
Esplanade – Theatres on the Bay,Theater,1.2894,103.8567
Haw Par Villa,Theme Park,1.2819,103.7811
Adventure Cove,Theme Park,1.2552,103.823
Universal Studios Singapore,Theme Park,1.2543,103.8233
Wild Wild Wet,Theme Park,1.3779,103.9605
Royal Albatross,Tour,1.2576,103.8522
Floral Heritage tours by Scentopia,Tour,1.2914,103.8447
Singapore Ducktours,Tour,1.2914,103.8447
Helix Bridge,Trail,1.2868,103.8593
Southern Ridges,Trail,1.2804,103.8103
Bird Paradise,Zoo,1.3187,103.7069
Night Safari,Zoo,1.4044,103.7903
River Wonders,Zoo,1.2942,103.8714
Singapore Zoo,Zoo,1.4044,103.793
100 AM,Shop,1.274588218,103.8434707
313@Somerset,Shop,1.301014364,103.8383607
Aperia,Shop,1.310473668,103.8643132
Balestier Hill Shopping Centre,Shop,1.325595948,103.8425716
Bugis Cube,Shop,1.298140834,103.8556353
Bugis Junction,Shop,1.299112875,103.8554112
Bugis+,Shop,1.300951715,103.8551726
Capitol Piazza,Shop,1.293078848,103.851262
Cathay Cineleisure Orchard,Shop,1.301463935,103.8364638
The Centrepoint,Shop,1.301450455,103.8400341
City Square Mall,Shop,1.311382719,103.8566269
CityLink Mall,Shop,1.292603494,103.8543161
Duo,Shop,1.299534349,103.8584017
Far East Plaza,Shop,1.307304689,103.8338184
Funan,Shop,1.291347597,103.8499898
Great World City,Shop,1.293422727,103.8320221
HDB Hub,Shop,1.33201387,103.8498495
ION Orchard,Shop,1.303992869,103.8319889
Junction 8,Shop,1.350172432,103.8485537
Knightsbridge,Shop,1.302983123,103.8362839
Liat Towers,Shop,1.305087227,103.8307226
Lucky Plaza,Shop,1.30446379,103.8340052
Marina Bay Sands,Shop,1.284662036,103.8610059
The Shoppes at Marina Bay Sands,Shop,1.28423496,103.8589823
Marina Bay Link Mall,Shop,1.280031134,103.8542849
Marina Square,Shop,1.291594805,103.8570487
Millenia Walk,Shop,1.292679269,103.8603029
Ngee Ann City,Shop,1.30227273,103.8348995
Orchard Central,Shop,1.300838908,103.8394347
Orchard Gateway,Shop,1.30160117,103.8388689
Orchard Plaza,Shop,1.301257294,103.8411501
